,tanggal,judul,judul_clean
116,2021-12-01,Lirik dan Chord Lagu I Don't Wanna Have to Lie - Lolo,lirik chord lagu i don t wan na have to lie lolo
117,2021-12-01,"5 Fakta Menarik Serial Terbaru Reza Rahadian, Layangan Putus",fakta tarik serial reza rahadian layang putus
118,2021-12-01,Solidaritas Jurnalis di Semarang untuk Nurhadi Korban Kekerasan Saat Liputan,solidaritas jurnalis semarang nurhadi korban keras liput
119,2021-12-01,"Dekat dengan Kehidupan, Bony Wirasmono Sebut Film Nussa Cocok Ditonton Semua Kalangan",hidup bony wirasmono film nussa cocok tonton kalang
120,2021-12-01,Mantan Perdana Menteri Lesotho Didakwa atas Pembunuhan Istrinya,mantan perdana menteri lesotho dakwa bunuh istri
121,2021-12-01,"Sepenggal Cerita Petani Tembakau, dari Warisan hingga Cinta...",penggal cerita tani tembakau waris cinta
122,2021-12-01,5 Aplikasi Gratis untuk Berbagi File di Ponsel Android,aplikasi gratis file ponsel android
123,2021-12-01,"Polisi: Peran 2 Terduga Teroris di Luwu Timur, Siapkan Tempat Pertemuan dan Jaga Senjata",polisi peran duga teroris luwu timur temu jaga senjata
124,2021-12-01,"Kesedihan Nora Alexandra Antar Jerinx ke Ruang Tahanan: Baru Bebas, Harus Masuk Lagi...",sedih nora alexandra jerinx ruang tahan bebas masuk
125,2021-12-01,"Tiga Pelajar SMP Berkomplot dengan Residivis, Bunuh Seorang Perempuan, LPA: Ini PR Besar bagi Masyarakat dan Pemerintah",ajar smp komplot residivis bunuh orang perempuan lpa pr masyarakat perintah
126,2021-12-01,"2 Polisi Penganiaya Jurnalis Tempo di Surabaya Dituntut 1,5 Tahun Penjara",polisi aniaya jurnalis tempo surabaya tuntut penjara
127,2021-12-01,Apakah Pengidap Diabetes Boleh Makan Kurma?,idap diabetes makan kurma
128,2021-12-01,Fenomena Langit Desember 2021: Super New Moon dan 7 Puncak Hujan Meteor,fenomena langit desember super new moon puncak hujan meteor
129,2021-12-01,"BWF World Tour Finals: Praveen/Melati Kembali ke Ritme Permainan, tetapi... ",bwf world tour finals praveen melati ritme main
130,2021-12-01,"[HOAKS] Ada Laba-Laba Berbisa di Pantai, Bisa Membunuh dalam 5 Menit",hoaks laba laba pantai bunuh menit
131,2021-12-01,Penis Bengkak,penis bengkak
132,2021-12-01,Lirik dan Chord Lagu For Memories - Wilbur Soot,lirik chord lagu for memories wilbur soot
133,2021-12-01,Bersiap Liburan? Berikut Skenario Pembatasan di Sektor Transportasi,libur skenario batas sektor transportasi
134,2021-12-01,Firli Bahuri Berharap Tak Ada Lagi Korupsi Terkait Perizinan Investasi,firli bahuri harap korupsi kait izin investasi
135,2021-12-01,PLN Minta Maaf Pemeliharaan PLTGU Bikin Listrik di Batam Padam,pln maaf pelihara pltgu bikin listrik batam padam
136,2021-12-01,"100 Anak Eks Pejuang Timtim Diminta Jokowi Kerja di BUMN, Eurico Guterres: Sejarah bagi Kami",anak eks juang timtim jokowi kerja bumn eurico guterres sejarah
137,2021-12-01,Peringatan BMKG: Banjir Rob Diprediksi Landa Pesisir Jakarta Utara 2-9 Desember,bmkg banjir rob prediksi landa pesisir jakarta utara desember
138,2021-12-01,Hasil BWF World Tour Finals 2021 - Marcus/Kevin Atasi Rintangan Pertama,hasil bwf world tour finals marcus kevin rintang
139,2021-12-01,"Lirik dan Chord Lagu Like Rain, Like Music - Baekhyun EXO",lirik chord lagu like rain like music baekhyun exo
140,2021-12-01,Langkah Membersihkan Urine Kucing pada Karpet dan Keset,langkah bersih urine kucing karpet keset
141,2021-12-01,"Keributan di Cililitan, Kaca Bus Transjakarta Dipecahkan Pakai Helm",ribut cililitan kaca bus transjakarta pecah pakai helm
142,2021-12-01,"Bocah 7 Tahun di Bandung Dicabuli Pedagang Mainan, Korban Diimingi Uang Rp 5.000",bocah bandung cabul dagang main korban diimingi uang rp
